# GHCN-M v4 QCF Station Metadata — stations within 25 km of Tidal Basin
# Source: https://www.ncei.noaa.gov/pub/data/ghcn/v4/ghcnm.tavg.latest.qcf.tar.gz
# Dataset version: ghcnm.tavg.v4.0.1.20260411.qcf.dat
# Downloaded: 2026-04-12
# Verify station IDs at: https://www.ncei.noaa.gov/pub/data/ghcn/v4/
Station_ID,Name,Lat,Lon,Dist_km
USW00093725,WASHINGTON,38.9053,-77.0525,2.25
USW00013743,WASHINGTON_REAGAN_AP,38.8483,-77.0342,4.53
USC00189035,US_SOLDIERS_HOME_DC,38.9333,-77.0167,5.23
USC00186350,NATL_ARBORETUM_DC,38.9133,-76.97,6.4
USC00448938,WAVERLY_HILLS,38.8833,-77.1167,6.93
USC00440097,ALEXANDRIA_POTOMAC_YAR,38.8167,-77.05,8.12
USC00182325,DALECARLIA_RSVR,38.9386,-77.1133,8.6
USC00440090,ALEXANDRIA_CITY_GARAGE,38.8,-77.0833,10.68
USC00188725,TAKOMA_PARK_MISS_AVE,38.9833,-77.0,10.96
USC00181995,COLLEGE_PARK,38.9833,-76.95,12.91
USC00442922,FALLS_CHURCH_2_SW,38.85,-77.2,14.76
USC00180705,BELTSVILLE_PLT_STN_5,39.0167,-76.95,16.07
USC00180706,BELTSVILLE_PLT_STN_6,39.0167,-76.95,16.07
USW00013705,CAMP_SPRINGS_ANDREWS_AFB,38.8167,-76.8667,16.8
USC00183860,GREENBELT,39.0,-76.8833,18.14
USC00180700,BELTSVILLE,39.0303,-76.9314,18.17
USC00180701,BELTSVILLE_PLT_STN_1,39.0333,-76.9333,18.38
USC00180702,BELTSVILLE_PLT_STN_2,39.0333,-76.9333,18.38
USC00180704,BELTSVILLE_PLT_STN_4,39.0333,-76.9333,18.38
USC00189502,WHEATON_RGNL_PARK,39.0667,-77.0333,19.76
USC00183675,GLENN_DALE_BELL_STN,38.9689,-76.8042,22.01
USW00093728,DAVISON_AAF,38.7167,-77.1833,22.97
USC00189070,UPPER_MARLBORO_3_NNW,38.8519,-76.7683,23.63
USC00185111,LAUREL_3_W,39.0847,-76.9003,24.76
