# Local Temperature Ensemble — IDW annual mean anomaly near Tidal Basin
# Stations: 24 GHCN-M v4 QCF stations within 25 km of 38.889°N 77.037°W
# Method: inverse-distance-squared weighting; anomaly = deviation from per-station 1951–1980 mean
# Min stations per year gate: 3
# Source data: https://www.ncei.noaa.gov/pub/data/ghcn/v4/ghcnm.tavg.latest.qcf.tar.gz
# See data/ghcnm_station_meta.csv for station inventory and data/ghcnm_station_annual.csv for raw annual values
Year,Anomaly,N_stations
1921,0.9796,3
1922,0.1149,3
1923,-0.0712,4
1924,-1.1859,4
1925,-0.0797,4
1926,-0.9693,4
1927,0.0175,4
1928,-0.1304,4
1929,0.1395,4
1930,0.6877,4
1931,1.1153,4
1932,0.5874,4
1933,0.491,4
1934,-0.1792,4
1935,-0.2358,4
1936,0.0352,4
1937,0.0881,4
1938,0.6506,5
1939,0.638,5
1940,-1.0885,5
1941,0.6095,6
1942,0.3503,6
1943,0.1652,6
1944,0.1691,6
1945,0.6339,8
1946,0.8764,7
1947,0.0115,7
1948,0.0257,8
1949,1.3024,14
1950,0.1003,18
1951,0.3314,19
1952,0.4381,17
1953,1.2579,17
1954,0.6391,20
1955,0.3568,20
1956,0.0286,21
1957,0.4442,22
1958,-0.9095,23
1959,0.8231,23
1960,-0.3333,23
1961,-0.0355,18
1962,-0.6138,18
1963,-0.3545,17
1964,0.1759,17
1965,-0.5641,17
1966,-0.443,16
1967,-0.6563,16
1968,-0.1883,16
1969,-0.4016,17
1970,-0.016,16
1971,0.1292,12
1972,-0.5115,12
1973,0.8227,15
1974,0.2857,15
1975,0.4974,15
1976,-0.3075,14
1977,-0.0501,14
1978,-0.4976,12
1979,-0.6374,11
1980,0.1452,11
1981,-0.2167,11
1982,-0.2374,11
1983,0.1623,11
1984,0.225,11
1985,0.5889,11
1986,0.3426,11
1987,0.5356,11
1988,-0.0506,11
1989,-0.0157,11
1990,1.5706,11
1991,1.7628,10
1992,-0.255,8
1993,0.4337,9
1994,0.8846,9
1995,0.7186,9
1996,-0.1052,9
1997,0.7535,9
1998,1.7455,9
1999,1.1806,10
2000,0.1656,10
2001,1.0492,9
2002,1.3993,8
2003,-0.2033,9
2004,0.6123,8
2005,0.5534,8
2006,1.4447,8
2007,1.2696,9
2008,1.2769,9
2009,0.4583,9
2010,1.7254,9
2011,1.7841,9
2012,2.622,9
2013,1.141,9
2014,0.9789,6
2015,1.2467,5
2016,1.9615,4
2017,2.1663,4
2018,1.4244,4
2019,1.9461,4
2020,2.1534,4
2021,1.8041,4
2022,1.888,4
2023,2.2678,4
2025,1.551,4
